ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
203814_s_at	NQO2	NAD(P)H quinone dehydrogenase 2	0.967	6.902
203823_at	RGS3	regulator of G-protein signaling 3	0.617	3.305
203826_s_at	PITPNM1	phosphatidylinositol transfer protein membrane associated 1	0.604	2.749
203835_at	LRRC32	leucine rich repeat containing 32	0.533	2.802
203845_at	KAT2B	lysine acetyltransferase 2B	0.747	2.462
203851_at	IGFBP6	insulin like growth factor binding protein 6	1.359	7.642
203853_s_at	GAB2	GRB2 associated binding protein 2	1.045	10.284
203860_at	PCCA	propionyl-CoA carboxylase alpha subunit	0.419	2.728
203881_s_at	DMD	dystrophin	1.15	7.099
203886_s_at	FBLN2	fibulin 2	1.04	3.403
203897_at	LYRM1	LYR motif containing 1	0.629	3.024
203914_x_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	0.568	2.661
203917_at	CXADR	coxsackie virus and adenovirus receptor	-1.41	9.842
203918_at	PCDH1	protocadherin 1	0.609	3.808
203920_at	NR1H3	nuclear receptor subfamily 1 group H member 3	0.654	4.121
203921_at	CHST2	carbohydrate sulfotransferase 2	0.363	2.672
203962_s_at	NEBL	nebulette	-0.497	3.076
203980_at	FABP4	fatty acid binding protein 4	1.925	11.471
203981_s_at	ABCD4	ATP binding cassette subfamily D member 4	0.667	3.08
203986_at	FAM47E-STBD1///FAM47E///STBD1	FAM47E-STBD1 readthrough///family with sequence similarity 47 member E///starch binding domain 1	1.446	8.103
203992_s_at	KDM6A	lysine demethylase 6A	-0.888	3.729
204005_s_at	PAWR	pro-apoptotic WT1 regulator	-0.554	4.159
204014_at	DUSP4	dual specificity phosphatase 4	-0.752	2.402
204018_x_at	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	1.753	7.433
204023_at	RFC4	replication factor C subunit 4	-0.438	2.517
204026_s_at	ZWINT	ZW10 interacting kinetochore protein	-0.69	4.702
204036_at	LPAR1	lysophosphatidic acid receptor 1	0.505	3.479
204039_at	CEBPA	CCAAT/enhancer binding protein alpha	1.133	5.783
204042_at	WASF3	WAS protein family member 3	1.004	9.738
204053_x_at	PTEN	phosphatase and tensin homolog	0.915	4.368
204058_at	ME1	malic enzyme 1	0.784	5.026
204059_s_at	ME1	malic enzyme 1	0.842	5.925
204064_at	THOC1	THO complex 1	-0.541	3.078
204070_at	RARRES3	retinoic acid receptor responder 3	-0.73	4.174
204072_s_at	FRY	FRY microtubule binding protein	0.838	2.796
204073_s_at	MYRF	myelin regulatory factor	0.449	2.59
204079_at	TPST2	tyrosylprotein sulfotransferase 2	0.558	4.002
204085_s_at	CLN5	ceroid-lipofuscinosis, neuronal 5	0.453	2.482
204093_at	CCNH	cyclin H	0.474	3.695
204112_s_at	HNMT	histamine N-methyltransferase	1.122	3.933
204115_at	GNG11	G protein subunit gamma 11	1.275	5.249
204123_at	LIG3	DNA ligase 3	-0.722	2.98
204134_at	PDE2A	phosphodiesterase 2A	1.254	10.664
204146_at	RAD51AP1	RAD51 associated protein 1	-1.342	3.707
204148_s_at	POMZP3///ZP3	POM121 and ZP3 fusion///zona pellucida glycoprotein 3 (sperm receptor)	0.484	2.566
204151_x_at	AKR1C1	aldo-keto reductase family 1 member C1	1.8	11.447
204154_at	CDO1	cysteine dioxygenase type 1	0.784	5.993
204159_at	CDKN2C	cyclin dependent kinase inhibitor 2C	2.011	10.888
204162_at	NDC80	NDC80, kinetochore complex component	-1.275	5.336
204167_at	BTD	biotinidase	0.325	2.512
204170_s_at	CKS2	CDC28 protein kinase regulatory subunit 2	-0.856	5.023
204183_s_at	GRK3	G protein-coupled receptor kinase 3	0.417	2.807
204204_at	SLC31A2	solute carrier family 31 member 2	0.426	2.787
204223_at	PRELP	proline and arginine rich end leucine rich repeat protein	1.699	11.195
204224_s_at	GCH1	GTP cyclohydrolase 1	-0.938	3.272
204236_at	FLI1	Fli-1 proto-oncogene, ETS transcription factor	0.799	3.115
204271_s_at	EDNRB	endothelin receptor type B	0.963	7.327
204273_at	EDNRB	endothelin receptor type B	1.15	4.472
204274_at	EBAG9	estrogen receptor binding site associated, antigen, 9	-0.57	2.463
204276_at	TK2	thymidine kinase 2, mitochondrial	1.091	6.034
204285_s_at	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	-0.769	3.206
204286_s_at	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	-0.748	2.448
204290_s_at	ALDH6A1	aldehyde dehydrogenase 6 family member A1	0.828	3.954
204299_at	SRSF10	serine and arginine rich splicing factor 10	-0.94	3.342
204303_s_at	CTIF	cap binding complex dependent translation initiation factor	0.581	2.823
204304_s_at	PROM1	prominin 1	-0.607	2.927
204318_s_at	GTSE1	G2 and S-phase expressed 1	-0.5	2.528
204320_at	COL11A1	collagen type XI alpha 1 chain	-1.203	3.98
204326_x_at	MT1X	metallothionein 1X	1.135	8.145
204351_at	S100P	S100 calcium binding protein P	-1.076	4.891
204362_at	SKAP2	src kinase associated phosphoprotein 2	1.243	3.818
204363_at	F3	coagulation factor III, tissue factor	0.949	6.698
204388_s_at	MAOA	monoamine oxidase A	2.034	14.099
204389_at	MAOA	monoamine oxidase A	0.963	6.467
204396_s_at	GRK5	G protein-coupled receptor kinase 5	0.68	2.924
204415_at	IFI6	interferon alpha inducible protein 6	-1.09	4.368
204419_x_at	HBG2///HBG1	hemoglobin subunit gamma 2///hemoglobin subunit gamma 1	1.761	8.346
204421_s_at	FGF2	fibroblast growth factor 2	0.744	5.693
204422_s_at	FGF2	fibroblast growth factor 2	1.417	5.426
204424_s_at	LMO3	LIM domain only 3	0.779	4.903
204438_at	MRC1	mannose receptor, C type 1	0.481	3.537
204445_s_at	ALOX5	arachidonate 5-lipoxygenase	0.469	2.514
204451_at	FZD1	frizzled class receptor 1	-0.656	4.105
204455_at	DST	dystonin	-1.003	3.356
204457_s_at	GAS1	growth arrest specific 1	0.629	2.849
204461_x_at	RAD1	RAD1 checkpoint DNA exonuclease	-0.413	2.604
204476_s_at	PC	pyruvate carboxylase	0.54	4.349
204482_at	CLDN5	claudin 5	1.194	5.406
204485_s_at	TOM1L1	target of myb1 like 1 membrane trafficking protein	-0.457	2.695
204508_s_at	CA12	carbonic anhydrase 12	-0.902	2.797
204510_at	CDC7	cell division cycle 7	-0.417	2.651
204537_s_at	MIR452///MIR224///GABRE	microRNA 452///microRNA 224///gamma-aminobutyric acid type A receptor epsilon subunit	0.844	7.111
204556_s_at	DZIP1	DAZ interacting zinc finger protein 1	0.44	2.72
204570_at	COX7A1	cytochrome c oxidase subunit 7A1	2.395	11.938
204589_at	NUAK1	NUAK family kinase 1	0.894	5.278
204610_s_at	CCDC85B	coiled-coil domain containing 85B	0.361	2.725
204623_at	TFF3	trefoil factor 3	-1.001	3.768
204641_at	NEK2	NIMA related kinase 2	-0.506	2.708
204642_at	S1PR1	sphingosine-1-phosphate receptor 1	1.14	6.173
204652_s_at	NRF1	nuclear respiratory factor 1	0.439	3.036
204653_at	TFAP2A	transcription factor AP-2 alpha	-1.089	8.257
204663_at	ME3	malic enzyme 3	0.781	3.94
204667_at	FOXA1	forkhead box A1	-0.394	2.806
204677_at	CDH5	cadherin 5	1.108	6.014
204688_at	SGCE	sarcoglycan epsilon	0.533	2.771
204719_at	ABCA8	ATP binding cassette subfamily A member 8	2.711	11.038
204731_at	TGFBR3	transforming growth factor beta receptor 3	1.634	8.635
204734_at	KRT15	keratin 15	-1.114	3.923
204735_at	PDE4A	phosphodiesterase 4A	0.476	4.346
204736_s_at	CSPG4	chondroitin sulfate proteoglycan 4	0.523	2.443
204738_s_at	KRIT1	KRIT1, ankyrin repeat containing	0.629	2.85
204753_s_at	HLF	HLF, PAR bZIP transcription factor	0.614	2.637
204754_at	HLF	HLF, PAR bZIP transcription factor	0.626	4.116
204755_x_at	HLF	HLF, PAR bZIP transcription factor	0.677	3.525
204759_at	RCBTB2	RCC1 and BTB domain containing protein 2	0.588	3.332
204767_s_at	FEN1	flap structure-specific endonuclease 1	-0.546	3.345
204773_at	IL11RA	interleukin 11 receptor subunit alpha	1.128	4.914
204782_at	MLF1	myeloid leukemia factor 1	0.529	3.824
204790_at	SMAD7	SMAD family member 7	0.538	2.975
204798_at	MYB	MYB proto-oncogene, transcription factor	-1.028	5.286
204813_at	MAPK10	mitogen-activated protein kinase 10	0.4	2.721
204825_at	MELK	maternal embryonic leucine zipper kinase	-1.794	8.362
204829_s_at	FOLR2	folate receptor beta	0.522	2.444
204848_x_at	HBG2///HBG1	hemoglobin subunit gamma 2///hemoglobin subunit gamma 1	1.177	8.551
204865_at	CA3	carbonic anhydrase 3	1.151	2.935
204894_s_at	AOC3	amine oxidase, copper containing 3	1.841	11.44
204900_x_at	SAP30	Sin3A associated protein 30	-0.755	2.427
204908_s_at	MIR8085///BCL3	microRNA 8085///B-cell CLL/lymphoma 3	-0.981	2.603
204942_s_at	ALDH3B2	aldehyde dehydrogenase 3 family member B2	-0.67	3.858
204955_at	SRPX	sushi repeat containing protein, X-linked	0.645	5.331
204963_at	SSPN	sarcospan	0.515	3.207
204964_s_at	SSPN	sarcospan	0.674	3.458
204993_at	GNAZ	G protein subunit alpha z	0.445	2.808
204997_at	GPD1	glycerol-3-phosphate dehydrogenase 1	2.338	13.052
205005_s_at	NMT2	N-myristoyltransferase 2	0.733	6.098
205006_s_at	NMT2	N-myristoyltransferase 2	0.663	4.447
205019_s_at	VIPR1	vasoactive intestinal peptide receptor 1	0.475	2.414
205022_s_at	FOXN3	forkhead box N3	1.713	8.532
205034_at	CCNE2	cyclin E2	-0.722	2.81
205047_s_at	ASNS	asparagine synthetase (glutamine-hydrolyzing)	-0.714	3.416
205107_s_at	EFNA4	ephrin A4	-0.536	2.443
205133_s_at	HSPE1	heat shock protein family E (Hsp10) member 1	-0.455	2.688
205141_at	ANG	angiogenin	0.421	2.533
205156_s_at	ASIC1	acid sensing ion channel subunit 1	0.667	3.692
205157_s_at	KRT17///JUP	keratin 17///junction plakoglobin	-0.536	2.542
205158_at	RNASE4	ribonuclease A family member 4	1.29	5.103
205168_at	DDR2	discoidin domain receptor tyrosine kinase 2	0.599	3.558
205200_at	EXOSC7///CLEC3B	exosome component 7///C-type lectin domain family 3 member B	1.279	6.219
205208_at	ALDH1L1	aldehyde dehydrogenase 1 family member L1	1.517	6.803
205220_at	HCAR3	hydroxycarboxylic acid receptor 3	1.626	14.825
205267_at	POU2AF1	POU class 2 associating factor 1	-0.562	2.539
205286_at	TFAP2C	transcription factor AP-2 gamma	-0.467	3.61
205290_s_at	BMP2	bone morphogenetic protein 2	0.676	3.435
205303_at	KCNJ8	potassium voltage-gated channel subfamily J member 8	0.931	8.026
205331_s_at	REEP2	receptor accessory protein 2	0.465	2.805
205339_at	STIL	SCL/TAL1 interrupting locus	-0.609	5.433
205357_s_at	AGTR1	angiotensin II receptor type 1	0.781	4.944
205376_at	INPP4B	inositol polyphosphate-4-phosphatase type II B	-0.757	3.551
205378_s_at	ACHE	acetylcholinesterase (Cartwright blood group)	0.526	2.803
205382_s_at	CFD	complement factor D	3.44	13.571
205392_s_at	CCL15-CCL14///CCL14	CCL15-CCL14 readthrough (NMD candidate)///C-C motif chemokine ligand 14	0.584	3.558
205404_at	HSD11B1	hydroxysteroid 11-beta dehydrogenase 1	0.858	5.197
205407_at	RECK	reversion inducing cysteine rich protein with kazal motifs	1.145	3.376
205412_at	ACAT1	acetyl-CoA acetyltransferase 1	0.867	3.749
205421_at	SLC22A3	solute carrier family 22 member 3	0.862	2.837
205428_s_at	CALB2	calbindin 2	0.455	3.218
205440_s_at	NPY1R	neuropeptide Y receptor Y1	0.668	2.483
205471_s_at	DACH1	dachshund family transcription factor 1	-0.758	2.679
205478_at	PPP1R1A	protein phosphatase 1 regulatory inhibitor subunit 1A	3.215	18.251
205480_s_at	UGP2	UDP-glucose pyrophosphorylase 2	0.665	4.518
205498_at	GHR	growth hormone receptor	1.077	10.027
205530_at	ETFDH	electron transfer flavoprotein dehydrogenase	0.797	3.599
205559_s_at	PCSK5	proprotein convertase subtilisin/kexin type 5	1.585	6.38
205560_at	PCSK5	proprotein convertase subtilisin/kexin type 5	1.009	5.341
205603_s_at	DIAPH2	diaphanous related formin 2	0.568	2.51
205608_s_at	ANGPT1	angiopoietin 1	0.643	6.097
205609_at	ANGPT1	angiopoietin 1	1.086	7.86
205610_at	MYOM1	myomesin 1	1.669	14.25
205619_s_at	MEOX1	mesenchyme homeobox 1	0.983	5.917
205620_at	F10	coagulation factor X	0.506	2.61
205629_s_at	CRH	corticotropin releasing hormone	0.553	3.314
205644_s_at	SNRPG	small nuclear ribonucleoprotein polypeptide G	-0.6	3.783
205668_at	LY75	lymphocyte antigen 75	-0.658	2.915
205709_s_at	CDS1	CDP-diacylglycerol synthase 1	-1.203	7.516
205726_at	DIAPH2	diaphanous related formin 2	0.45	2.801
205730_s_at	ABLIM3	actin binding LIM protein family member 3	0.653	4.176
205739_x_at	ZNF107	zinc finger protein 107	-0.548	2.415
205741_s_at	DTNA	dystrobrevin alpha	0.512	3.163
205752_s_at	GSTM5	glutathione S-transferase mu 5	0.466	3.684
205756_s_at	F8	coagulation factor VIII	0.424	2.974
205762_s_at	DUS4L	dihydrouridine synthase 4 like	-0.607	2.716
205792_at	WISP2	WNT1 inducible signaling pathway protein 2	0.946	5.143
205794_s_at	NOVA1	NOVA alternative splicing regulator 1	0.459	3.875
205796_at	TCP11L1	t-complex 11 like 1	0.714	2.666
205808_at	ASPH	aspartate beta-hydroxylase	0.692	3.721
205824_at	HSPB2	heat shock protein family B (small) member 2	1.251	11.064
205830_at	CLGN	calmegin	-0.88	3.759
205863_at	S100A12	S100 calcium binding protein A12	0.982	4.195
205883_at	ZBTB16	zinc finger and BTB domain containing 16	0.636	5.055
205890_s_at	UBD///GABBR1	ubiquitin D///gamma-aminobutyric acid type B receptor subunit 1	-1.057	5.042
205892_s_at	FABP1	fatty acid binding protein 1	0.386	2.791
205913_at	PLIN1	perilipin 1	2.512	13.243
205932_s_at	MSX1	msh homeobox 1	1.106	6.44
205945_at	IL6R	interleukin 6 receptor	0.522	4.222
205959_at	MMP13	matrix metallopeptidase 13	-0.871	3.623
205968_at	KCNS3	potassium voltage-gated channel modifier subfamily S member 3	-1.239	8.388
205969_at	AADAC	arylacetamide deacetylase	1.069	4.968
205980_s_at	PRR5-ARHGAP8///ARHGAP8	PRR5-ARHGAP8 readthrough///Rho GTPase activating protein 8	-0.68	3.727
206030_at	ASPA	aspartoacylase	1.725	9.459
206068_s_at	ACADL	acyl-CoA dehydrogenase, long chain	1.544	8.958
206069_s_at	ACADL	acyl-CoA dehydrogenase, long chain	0.66	5.341
206070_s_at	EPHA3	EPH receptor A3	0.641	3.301
206076_at	LRRC23	leucine rich repeat containing 23	0.526	2.621
206082_at	HCP5	HLA complex P5 (non-protein coding)	-0.602	2.928
206084_at	PTPRR	protein tyrosine phosphatase, receptor type R	0.684	3.513
206093_x_at	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)	1.472	8.423
206100_at	CPM	carboxypeptidase M	1.262	8.605
206101_at	ECM2	extracellular matrix protein 2	0.95	6.94
206201_s_at	MEOX2	mesenchyme homeobox 2	2.344	8.313
206208_at	CA4	carbonic anhydrase 4	0.835	4.566
206209_s_at	CA4	carbonic anhydrase 4	0.682	4.846
206225_at	ZNF507	zinc finger protein 507	0.836	3.007
206226_at	HRG	histidine rich glycoprotein	0.321	2.461
206243_at	TIMP4	TIMP metallopeptidase inhibitor 4	2.42	12.728
206262_at	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	0.971	5.32
206280_at	CDH18	cadherin 18	0.442	2.512
206283_s_at	TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor	0.476	3.04
206324_s_at	DAPK2	death associated protein kinase 2	0.351	3.226
206363_at	MAF	MAF bZIP transcription factor	0.818	5.596
206365_at	XCL1	X-C motif chemokine ligand 1	0.919	3.895
206378_at	SCGB2A2	secretoglobin family 2A member 2	-1.079	3.621
206385_s_at	ANK3	ankyrin 3, node of Ranvier (ankyrin G)	-1.311	7.084
206408_at	LRRTM2	leucine rich repeat transmembrane neuronal 2	0.535	3.269
206410_at	NR0B2	nuclear receptor subfamily 0 group B member 2	0.367	3.018
206461_x_at	MT1H	metallothionein 1H	0.531	3.165
206481_s_at	LDB2	LIM domain binding 2	0.668	2.829
206488_s_at	CD36	CD36 molecule	1.675	10.123
206491_s_at	NAPA	NSF attachment protein alpha	0.501	3.021
206496_at	FMO3	flavin containing monooxygenase 3	0.793	5.544
206509_at	PIP	prolactin induced protein	-1.116	2.599
206515_at	CYP4F3	cytochrome P450 family 4 subfamily F member 3	0.666	2.907
206538_at	MRAS	muscle RAS oncogene homolog	0.518	3.897
206604_at	OVOL1	ovo like transcriptional repressor 1	0.505	3.151
206637_at	P2RY14	purinergic receptor P2Y14	0.914	4.32
206640_x_at	GAGE12D///GAGE12F///GAGE2A///GAGE12H///GAGE12E///GAGE12B///GAGE12C///GAGE12G///GAGE12I///GAGE7///GAGE6///GAGE5///GAGE4///GAGE2C	G antigen 12D///G antigen 12F///G antigen 2A///G antigen 12H///G antigen 12E///G antigen 12B///G antigen 12C///G antigen 12G///G antigen 12I///G antigen 7///G antigen 6///G antigen 5///G antigen 4///G antigen 2C	0.591	2.661
206701_x_at	EDNRB	endothelin receptor type B	0.702	3.366
206702_at	TEK	TEK receptor tyrosine kinase	0.823	5.03
206742_at	PIR-FIGF///FIGF	PIR-FIGF readthrough///c-fos induced growth factor	0.616	5.584
206802_at	PAX5	paired box 5	0.424	2.882
206813_at	CTF1	cardiotrophin 1	0.661	2.819
206823_at	L3MBTL1	l(3)mbt-like 1 (Drosophila)	0.733	2.795
206832_s_at	SEMA3F	semaphorin 3F	0.481	2.453
206865_at	HRK	harakiri, BCL2 interacting protein	0.436	2.701
206880_at	P2RX6	purinergic receptor P2X 6	0.453	2.869
206882_at	SLC1A6	solute carrier family 1 member 6	0.477	2.892
206955_at	LOC101930168///LOC100509620///AQP7	putative aquaporin-7-like protein 3///putative aquaporin-7-like protein 3///aquaporin 7	0.804	4.604
206965_at	KLF12	Kruppel like factor 12	-0.948	3.364
206976_s_at	HSPH1	heat shock protein family H (Hsp110) member 1	-0.702	3.554
207002_s_at	PLAGL1	PLAG1 like zinc finger 1	0.485	2.402
207005_s_at	BCL2	BCL2, apoptosis regulator	0.551	2.614
207025_at	GJC2	gap junction protein gamma 2	0.473	2.703
207030_s_at	CSRP2	cysteine and glycine rich protein 2	0.539	2.482
207036_x_at	GRIN2D	glutamate ionotropic receptor NMDA type subunit 2D	0.859	4.193
207057_at	SLC16A7	solute carrier family 16 member 7	0.863	6.155
207069_s_at	SMAD6	SMAD family member 6	0.888	4.382
207071_s_at	ACO1	aconitase 1	0.828	6.794
207076_s_at	ASS1	argininosuccinate synthase 1	0.909	5.534
207092_at	LEP	leptin	3.044	13.612
207101_at	VAMP1	vesicle associated membrane protein 1	0.547	2.44
207121_s_at	MAPK6	mitogen-activated protein kinase 6	-0.935	5.026
207122_x_at	SULT1A2	sulfotransferase family 1A member 2	0.451	2.466
207160_at	IL12A	interleukin 12A	0.983	6.035
207165_at	HMMR	hyaluronan mediated motility receptor	-1.065	4.269
207169_x_at	MIR4640///DDR1	microRNA 4640///discoidin domain receptor tyrosine kinase 1	-0.466	2.62
207175_at	ADIPOQ	adiponectin, C1Q and collagen domain containing	1.973	12.388
207196_s_at	TNIP1	TNFAIP3 interacting protein 1	0.57	4.027
207233_s_at	MITF	melanogenesis associated transcription factor	0.45	4.486
207275_s_at	ACSL1	acyl-CoA synthetase long-chain family member 1	1.186	8.438
207302_at	SGCG	sarcoglycan gamma	1.062	6.088
207317_s_at	CASQ2	calsequestrin 2	0.738	3.539
207376_at	VENTX	VENT homeobox	0.442	2.822
207437_at	NOVA1	NOVA alternative splicing regulator 1	1.184	3.849
207455_at	P2RY1	purinergic receptor P2Y1	0.47	3.727
207459_x_at	GYPB	glycophorin B (MNS blood group)	0.567	2.49
207469_s_at	PIR	pirin	0.832	3.586
207483_s_at	CAND1	cullin associated and neddylation dissociated 1	-0.796	3.46
207537_at	PFKFB1	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1	0.453	2.453
207542_s_at	AQP1	aquaporin 1 (Colton blood group)	0.573	3.817
207547_s_at	FAM107A	family with sequence similarity 107 member A	0.586	2.435
207554_x_at	TBXA2R	thromboxane A2 receptor	0.381	2.41
207578_s_at	HTR4	5-hydroxytryptamine receptor 4	0.625	4.604
207583_at	ABCD2	ATP binding cassette subfamily D member 2	0.655	3.096
207621_s_at	PEMT	phosphatidylethanolamine N-methyltransferase	1.169	5.139
207646_s_at	CDY1B///CDY2B///CDY2A///CDY1	chromodomain Y-linked 1B///chromodomain Y-linked 2B///chromodomain Y-linked 2A///chromodomain Y-linked 1	0.519	3.347
207655_s_at	BLNK	B-cell linker	-0.359	2.627
207659_s_at	MOBP	myelin-associated oligodendrocyte basic protein	0.631	3.149
207705_s_at	NINL	ninein like	0.51	2.572
207761_s_at	METTL7A	methyltransferase like 7A	0.725	5.297
207765_s_at	FAM214B	family with sequence similarity 214 member B	0.45	2.627
207828_s_at	CENPF	centromere protein F	-0.839	3.751
207843_x_at	CYB5A	cytochrome b5 type A	0.647	3.726
207856_s_at	LOC150776///SMPD4	sphingomyelin phosphodiesterase 4, neutral membrane (neutral sphingomyelinase-3) pseudogene///sphingomyelin phosphodiesterase 4	-0.707	2.765
207865_s_at	BMP8B	bone morphogenetic protein 8b	0.532	2.58
207871_s_at	MIR6132///ST7-OT3///ST7	microRNA 6132///ST7 overlapping transcript 3///suppression of tumorigenicity 7	0.512	2.433
207933_at	ZP2	zona pellucida glycoprotein 2	0.425	2.889
207941_s_at	RBM39	RNA binding motif protein 39	-0.466	3.651
207977_s_at	DPT	dermatopontin	1.322	4.564
208022_s_at	CDC14B	cell division cycle 14B	0.895	4.868
208029_s_at	LAPTM4B	lysosomal protein transmembrane 4 beta	-1.458	6.846
208030_s_at	ADD1	adducin 1	0.446	3.082
208051_s_at	PAIP1	poly(A) binding protein interacting protein 1	-0.592	5.129
208057_s_at	GLI2	GLI family zinc finger 2	0.439	2.445
208058_s_at	MGAT3	mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase	0.432	2.954
208061_at			0.573	2.907
208070_s_at	REV3L	REV3 like, DNA directed polymerase zeta catalytic subunit	0.695	2.686
208079_s_at	AURKA	aurora kinase A	-1.006	4.369
208092_s_at	FAM49A	family with sequence similarity 49 member A	0.365	2.574
208157_at	SIM2	single-minded family bHLH transcription factor 2	0.338	2.465
208158_s_at	OSBPL1A	oxysterol binding protein like 1A	0.563	3.353
208170_s_at	TRIM31	tripartite motif containing 31	0.518	2.904
208186_s_at	LIPE	lipase E, hormone sensitive type	0.801	6.508
208246_x_at			-0.757	2.957
208250_s_at	DMBT1	deleted in malignant brain tumors 1	0.41	2.732
208291_s_at	TH	tyrosine hydroxylase	-0.549	2.458
208331_at	BPY2	basic charge, Y-linked, 2	0.393	2.542
208367_x_at	CYP3A4	cytochrome P450 family 3 subfamily A member 4	0.366	2.858
208383_s_at	PCK1	phosphoenolpyruvate carboxykinase 1	2.698	10.998
208426_x_at	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4	0.625	3.205
208451_s_at	C4B_2///C4B///C4A	complement component 4B (Chido blood group), copy 2///complement component 4B (Chido blood group)///complement component 4A (Rodgers blood group)	-1.061	4.589
208456_s_at	RRAS2	related RAS viral (r-ras) oncogene homolog 2	0.369	2.626
208473_s_at	GP2	glycoprotein 2	0.342	2.9
208475_at	FRMD4A	FERM domain containing 4A	0.466	2.955
208493_at	HOXA11	homeobox A11	0.832	3.509
208503_s_at	GATAD1	GATA zinc finger domain containing 1	0.581	3.282
208510_s_at	PPARG	peroxisome proliferator activated receptor gamma	1.994	13.694
208539_x_at	SPRR2B	small proline rich protein 2B	0.497	3.341
208579_x_at	H2BFS	H2B histone family member S	-0.666	2.415
208581_x_at	MT1X	metallothionein 1X	0.659	5.27
208607_s_at	SAA2-SAA4///SAA2///SAA1	SAA2-SAA4 readthrough///serum amyloid A2///serum amyloid A1	2.193	7.507
208611_s_at	SPTAN1	spectrin alpha, non-erythrocytic 1	0.529	2.704
208650_s_at	CD24	CD24 molecule	-2.164	8.831
208651_x_at	CD24	CD24 molecule	-1.012	8.304
208660_at	CS	citrate synthase	0.654	3.236
208682_s_at	MAGED2	MAGE family member D2	-1.319	4.298
208696_at	CCT5	chaperonin containing TCP1 subunit 5	-0.698	3.142
208698_s_at	NONO	non-POU domain containing, octamer-binding	-0.796	3.18
208699_x_at	TKT	transketolase	0.813	3.008
208707_at	EIF5	eukaryotic translation initiation factor 5	0.308	2.532
208737_at	ATP6V1G1	ATPase H+ transporting V1 subunit G1	-1.062	6.299
208740_at	SAP18	Sin3A associated protein 18	0.8	4.805
208781_x_at	SNX3	sorting nexin 3	0.436	3.704
208782_at	FSTL1	follistatin like 1	0.603	4.249
208789_at	PTRF	polymerase I and transcript release factor	1.602	8.179
208790_s_at	PTRF	polymerase I and transcript release factor	0.972	5.476
208792_s_at	CLU	clusterin	0.632	2.864
208794_s_at	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	-1.18	5.507
208815_x_at	HSPA4	heat shock protein family A (Hsp70) member 4	-0.474	2.428
208848_at	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	0.455	2.92
208858_s_at	ESYT1	extended synaptotagmin 1	0.714	4.991
208864_s_at	TXN	thioredoxin	-0.486	2.923
208869_s_at	GABARAPL1	GABA type A receptor associated protein like 1	0.635	4.332
208887_at	EIF3G	eukaryotic translation initiation factor 3 subunit G	0.633	3.301
208900_s_at	TOP1	topoisomerase (DNA) I	-0.743	3.458
208901_s_at	TOP1	topoisomerase (DNA) I	-0.761	2.531
208920_at	SRI	sorcin	0.477	3.155
208937_s_at	ID1	inhibitor of DNA binding 1, HLH protein	0.536	2.501
208944_at	TGFBR2	transforming growth factor beta receptor 2	0.722	4.713
208949_s_at	LGALS3	lectin, galactoside binding soluble 3	0.512	4.009
208970_s_at	UROD	uroporphyrinogen decarboxylase	0.491	3.014
208981_at	PECAM1	platelet and endothelial cell adhesion molecule 1	0.828	3.998
208983_s_at	PECAM1	platelet and endothelial cell adhesion molecule 1	0.424	2.881
208988_at	KDM2A	lysine demethylase 2A	-0.75	3.304
208999_at	SEPT8	septin 8	-0.632	3.457
209007_s_at	RSRP1	arginine and serine rich protein 1	-0.344	2.681
209008_x_at	KRT8	keratin 8	-0.986	6.429
209016_s_at	KRT7	keratin 7	-2.897	10.93
209019_s_at	PINK1	PTEN induced putative kinase 1	0.526	2.837
209028_s_at	ABI1	abl interactor 1	-0.41	2.606
209035_at	MDK	midkine (neurite growth-promoting factor 2)	-1.068	3.596
209043_at	PAPSS1	3'-phosphoadenosine 5'-phosphosulfate synthase 1	-0.731	2.914
209047_at	AQP1	aquaporin 1 (Colton blood group)	0.6	3.143
209049_s_at	ZMYND8	zinc finger MYND-type containing 8	-0.997	5.867
209064_x_at	PAIP1	poly(A) binding protein interacting protein 1	-0.44	3.321
209074_s_at	FAM107A	family with sequence similarity 107 member A	0.681	4.101
209075_s_at	ISCU	iron-sulfur cluster assembly enzyme	0.42	2.664
209086_x_at	MIR6756///MCAM	microRNA 6756///melanoma cell adhesion molecule	1.046	6.702
209087_x_at	MCAM	melanoma cell adhesion molecule	0.728	7.178
209090_s_at	SH3GLB1	SH3 domain containing GRB2 like endophilin B1	0.368	2.421
209094_at	DDAH1	dimethylarginine dimethylaminohydrolase 1	-0.627	3.181
